path,n_samples,n_features,n_clusters,cluster_std,connectivity_n_neighbors,seed
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N500_d4_seed42.npz,500,4,3,2.5,7,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N500_d10_seed42.npz,500,10,3,2.5,7,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N500_d2_seed42.npz,500,2,3,2.5,7,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N500_d8_seed42.npz,500,8,3,2.5,7,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N500_d12_seed42.npz,500,12,3,2.5,7,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N500_d16_seed42.npz,500,16,3,2.5,7,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N500_d24_seed42.npz,500,24,3,2.5,7,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N1000_d4_seed42.npz,1000,4,3,2.5,7,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N1000_d10_seed42.npz,1000,10,3,2.5,7,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N1000_d2_seed42.npz,1000,2,3,2.5,7,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N1000_d8_seed42.npz,1000,8,3,2.5,7,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N1000_d12_seed42.npz,1000,12,3,2.5,7,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N1000_d16_seed42.npz,1000,16,3,2.5,7,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N1000_d24_seed42.npz,1000,24,3,2.5,7,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N2000_d4_seed42.npz,2000,4,3,2.5,8,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N2000_d10_seed42.npz,2000,10,3,2.5,8,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N2000_d2_seed42.npz,2000,2,3,2.5,8,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N2000_d8_seed42.npz,2000,8,3,2.5,8,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N2000_d12_seed42.npz,2000,12,3,2.5,8,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N2000_d16_seed42.npz,2000,16,3,2.5,8,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N2000_d24_seed42.npz,2000,24,3,2.5,8,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N5000_d4_seed42.npz,5000,4,3,2.5,9,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N5000_d10_seed42.npz,5000,10,3,2.5,9,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N5000_d2_seed42.npz,5000,2,3,2.5,9,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N5000_d8_seed42.npz,5000,8,3,2.5,9,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N5000_d12_seed42.npz,5000,12,3,2.5,9,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N5000_d16_seed42.npz,5000,16,3,2.5,9,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N5000_d24_seed42.npz,5000,24,3,2.5,9,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N10000_d4_seed42.npz,10000,4,3,2.5,10,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N10000_d10_seed42.npz,10000,10,3,2.5,10,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N10000_d2_seed42.npz,10000,2,3,2.5,10,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N10000_d8_seed42.npz,10000,8,3,2.5,10,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N10000_d12_seed42.npz,10000,12,3,2.5,10,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N10000_d16_seed42.npz,10000,16,3,2.5,10,42
/home/tag/Desktop/Generalized-Spectral-Clustering/complexity_analysis/experiments/data/gaussian_N10000_d24_seed42.npz,10000,24,3,2.5,10,42
