dataset,type,N,k_clusters,in_degree_mean,in_degree_std,in_degree_min,in_degree_max,reciprocity,cl_reciprocity,D,K
breast_tissue,pointcloud,106,6,4.0,2.23,0,10,0.6462,0.4178,9,4
wine,pointcloud,178,3,5.0,3.32,0,15,0.5753,0.1958,13,5
control_chart,pointcloud,600,6,6.0,4.1,0,38,0.6483,0.0198,60,6
glass,pointcloud,214,6,5.0,2.87,0,13,0.5664,0.4471,9,5
iris,pointcloud,150,3,5.0,2.82,0,12,0.6347,0.2833,4,5
parkinsons,pointcloud,195,2,5.0,2.64,0,13,0.6585,0.973,22,5
seeds,pointcloud,210,3,5.0,2.3,0,12,0.6895,0.5885,7,5
segmentation,pointcloud,2310,7,7.0,2.89,0,18,0.7247,0.2579,19,7
vertebral,pointcloud,310,3,5.0,3.02,0,14,0.5716,0.9273,6,5
wdbc,pointcloud,569,2,6.0,4.13,0,21,0.478,0.7958,30,6
yeast,pointcloud,1484,10,7.0,3.67,0,19,0.5832,0.7449,8,7
