method,runtime_seconds,ami_mean_across_grid,ami_std_across_grid,ami_best_mean,ami_best_std,graph_ch_mean_across_grid,graph_ch_std_across_grid,graph_ch_best_mean,graph_ch_best_std
SC-UN,1.0414,0.0,0.0,0.0,0.0,1.094,0.0,1.094,0.0
SC-N,1.1726,0.988,0.0,0.988,0.0,43.034,0.0,43.034,0.0
DSC+,22.6166,0.974,0.097,1.0,0.097,41.567,7.188,43.35,7.188
DI-SIM-R,0.3764,0.851,0.147,0.974,0.147,42.834,0.547,43.281,0.547
DI-SIM-L,0.3667,0.852,0.149,0.984,0.149,43.084,0.324,43.352,0.324
DI-SIM-C,0.3875,0.874,0.151,1.0,0.151,43.184,0.146,43.35,0.146
GSC-N,166.3508,0.245,0.328,0.983,0.328,11.805,13.912,42.764,13.912
GSC-UN,193.1306,0.2,0.343,0.987,0.343,9.428,14.507,42.85,14.507
deg-GSC-N,10.3573,0.098,0.0,0.098,0.0,5.73,0.035,5.771,0.035
deg-GSC-UN,4.9842,0.074,0.0,0.074,0.0,4.208,0.011,4.223,0.011
uniform-GSC-N,0.951,0.983,0.0,0.983,0.0,42.764,0.0,42.764,0.0
uniform-GSC-UN,1.0601,0.987,0.0,0.987,0.0,42.85,0.0,42.85,0.0
perron-GSC-N,1.4051,0.097,0.0,0.097,0.0,5.698,0.0,5.698,0.0
perron-GSC-UN,1.0722,0.987,0.0,0.987,0.0,42.85,0.0,42.85,0.0
