method,runtime_seconds,ami_mean_across_grid,ami_std_across_grid,ami_best_mean,ami_best_std,graph_ch_mean_across_grid,graph_ch_std_across_grid,graph_ch_best_mean,graph_ch_best_std
SC-UN,1.3034,0.731,0.0,0.731,0.0,13.896,0.0,13.896,0.0
SC-N,1.8473,0.527,0.0,0.527,0.0,25.855,0.0,25.855,0.0
DSC+,20.5559,0.642,0.02,0.648,0.02,14.1,0.604,14.264,0.604
DI-SIM-R,0.5259,0.888,0.065,0.956,0.065,27.061,2.586,29.574,2.586
DI-SIM-L,0.5483,0.895,0.065,0.971,0.065,30.022,0.434,30.463,0.434
DI-SIM-C,0.5672,0.991,0.011,1.0,0.011,30.414,0.18,30.568,0.18
GSC-N,274.2478,0.705,0.166,0.996,0.166,27.375,2.11,30.556,2.11
GSC-UN,207.7171,0.231,0.34,0.731,0.34,9.065,11.83,26.448,11.83
deg-GSC-N,9.3706,0.576,0.004,0.58,0.004,26.92,0.108,27.033,0.108
deg-GSC-UN,9.463,0.696,0.155,0.731,0.155,25.256,5.4,26.465,5.4
uniform-GSC-N,2.1731,0.579,0.0,0.579,0.0,27.03,0.0,27.03,0.0
uniform-GSC-UN,1.3546,0.731,0.0,0.731,0.0,26.443,0.0,26.443,0.0
perron-GSC-N,1.6789,0.572,0.0,0.572,0.0,26.924,0.0,26.924,0.0
perron-GSC-UN,1.386,0.0,0.0,0.0,0.0,1.007,0.0,1.007,0.0
