method,runtime_seconds,ami_mean_across_grid,ami_std_across_grid,ami_best_mean,ami_best_std,graph_ch_mean_across_grid,graph_ch_std_across_grid,graph_ch_best_mean,graph_ch_best_std
SC-UN,1.7673,0.004,0.0,0.004,0.0,0.876,0.0,0.876,0.0
SC-N,1.7575,0.464,0.0,0.464,0.0,4.093,0.0,4.093,0.0
DSC+,11.406,-0.002,0.006,0.026,0.006,1.266,0.033,1.408,0.033
DI-SIM-R,3.4531,0.484,0.027,0.526,0.027,7.485,0.141,7.645,0.141
DI-SIM-L,3.3799,0.435,0.022,0.459,0.022,8.02,0.365,8.488,0.365
DI-SIM-C,4.7558,0.476,0.023,0.503,0.023,8.077,0.276,8.397,0.276
GSC-N,316.3492,0.289,0.051,0.412,0.051,2.546,0.349,3.592,0.349
GSC-UN,345.4122,0.229,0.074,0.375,0.074,2.107,0.62,3.42,0.62
deg-GSC-N,16.4377,0.238,0.036,0.311,0.036,2.117,0.172,2.424,0.172
deg-GSC-UN,11.133,0.209,0.028,0.266,0.028,1.906,0.17,2.32,0.17
uniform-GSC-N,1.9996,0.386,0.0,0.386,0.0,3.247,0.0,3.247,0.0
uniform-GSC-UN,2.262,0.349,0.0,0.349,0.0,3.237,0.0,3.237,0.0
perron-GSC-N,2.2922,0.346,0.0,0.346,0.0,2.839,0.0,2.839,0.0
perron-GSC-UN,3.2098,0.147,0.0,0.147,0.0,1.708,0.0,1.708,0.0
