method,runtime_seconds,ami_mean_across_grid,ami_std_across_grid,ami_best_mean,ami_best_std,graph_ch_mean_across_grid,graph_ch_std_across_grid,graph_ch_best_mean,graph_ch_best_std
SC-UN,0.2735,0.899,0.0,0.899,0.0,9.771,0.0,9.771,0.0
SC-N,0.254,0.899,0.0,0.899,0.0,9.771,0.0,9.771,0.0
DSC+,1.1234,0.854,0.198,0.899,0.198,9.33,1.921,9.771,1.921
DI-SIM-R,0.5268,0.877,0.018,0.899,0.018,9.485,0.173,9.771,0.173
DI-SIM-L,0.5571,0.877,0.018,0.899,0.018,9.485,0.173,9.771,0.173
DI-SIM-C,0.5668,0.877,0.018,0.899,0.018,9.485,0.173,9.771,0.173
GSC-N,24.9932,0.899,0.0,0.899,0.0,9.771,0.0,9.771,0.0
GSC-UN,24.6153,0.899,0.0,0.899,0.0,9.771,0.0,9.771,0.0
deg-GSC-N,1.1349,0.899,0.0,0.899,0.0,9.771,0.0,9.771,0.0
deg-GSC-UN,1.1491,0.899,0.0,0.899,0.0,9.771,0.0,9.771,0.0
uniform-GSC-N,0.2746,0.899,0.0,0.899,0.0,9.771,0.0,9.771,0.0
uniform-GSC-UN,0.2437,0.899,0.0,0.899,0.0,9.771,0.0,9.771,0.0
perron-GSC-N,0.2537,0.899,0.0,0.899,0.0,9.771,0.0,9.771,0.0
perron-GSC-UN,0.2133,0.899,0.0,0.899,0.0,9.771,0.0,9.771,0.0
