method,runtime_seconds,ami_mean_across_grid,ami_std_across_grid,ami_best_mean,ami_best_std,graph_ch_mean_across_grid,graph_ch_std_across_grid,graph_ch_best_mean,graph_ch_best_std
SC-UN,4.1123,-0.0,0.0,-0.0,0.0,1.184,0.0,1.184,0.0
SC-N,3.5147,-0.0,0.0,-0.0,0.0,1.184,0.0,1.184,0.0
DSC+,7.9299,0.153,0.302,0.769,0.302,12.748,22.992,59.082,22.992
DI-SIM-R,0.2346,0.247,0.037,0.3,0.037,23.601,2.936,28.137,2.936
DI-SIM-L,0.2339,0.336,0.079,0.466,0.079,43.525,5.52,51.988,5.52
DI-SIM-C,0.2738,0.361,0.069,0.474,0.069,40.798,5.33,49.985,5.33
GSC-N,19.9492,0.229,0.182,0.523,0.182,20.324,16.985,44.191,16.985
GSC-UN,42.7477,0.081,0.14,0.537,0.14,10.72,10.602,44.98,10.602
deg-GSC-N,0.9201,0.082,0.124,0.398,0.124,9.107,10.499,36.555,10.499
deg-GSC-UN,2.0075,0.026,0.026,0.051,0.026,5.545,4.262,9.609,4.262
uniform-GSC-N,0.2844,0.379,0.0,0.379,0.0,37.81,0.0,37.81,0.0
uniform-GSC-UN,0.5266,0.537,0.0,0.537,0.0,44.98,0.0,44.98,0.0
perron-GSC-N,0.2539,0.013,0.0,0.013,0.0,3.405,0.0,3.405,0.0
perron-GSC-UN,0.4861,0.097,0.0,0.097,0.0,4.762,0.0,4.762,0.0
