method,runtime_seconds,ami_mean_across_grid,ami_std_across_grid,ami_best_mean,ami_best_std,graph_ch_mean_across_grid,graph_ch_std_across_grid,graph_ch_best_mean,graph_ch_best_std
SC-UN,0.1623,0.64,0.0,0.64,0.0,7.687,0.0,7.687,0.0
SC-N,0.1523,0.565,0.0,0.565,0.0,9.686,0.0,9.686,0.0
DSC+,0.4404,0.536,0.125,0.565,0.125,9.254,1.885,9.686,1.885
DI-SIM-R,0.2246,0.54,0.033,0.572,0.033,9.77,0.234,10.0,0.234
DI-SIM-L,0.2334,0.54,0.033,0.572,0.033,9.77,0.234,10.0,0.234
DI-SIM-C,0.224,0.54,0.033,0.572,0.033,9.77,0.234,10.0,0.234
GSC-N,9.9769,0.548,0.022,0.57,0.022,9.628,0.323,9.908,0.323
GSC-UN,10.1963,0.27,0.201,0.577,0.201,5.587,2.789,9.729,2.789
deg-GSC-N,0.45,0.554,0.0,0.554,0.0,9.812,0.0,9.812,0.0
deg-GSC-UN,0.51,0.14,0.0,0.14,0.0,3.205,0.0,3.205,0.0
uniform-GSC-N,0.1127,0.565,0.0,0.565,0.0,9.686,0.0,9.686,0.0
uniform-GSC-UN,0.1531,0.565,0.0,0.565,0.0,9.686,0.0,9.686,0.0
perron-GSC-N,0.1328,0.554,0.0,0.554,0.0,9.812,0.0,9.812,0.0
perron-GSC-UN,0.1524,0.565,0.0,0.565,0.0,9.686,0.0,9.686,0.0
